pattern,stride,n,local_size,median_seconds,mean_seconds,min_seconds,max_seconds,gbps,transfer_bytes
coalesced,1,1048576,256,0.00047104000000000004,0.0004722468571428572,0.000470784,0.000478592,26.713043478260868,12582912
coalesced,1,4194304,256,0.001865728,0.001866057142857143,0.001860384,0.001871744,26.97694840834248,50331648
coalesced,1,16777216,256,0.007346816000000001,0.007349897142857143,0.007335936,0.007366656,27.40324407198982,201326592
coalesced,1,67108864,256,0.029388800000000003,0.029385860571428574,0.02935168,0.029403616,27.401811846689892,805306368
